	Jaak Joala	Urmas Alender
televisiooni	1	0
laulufestivali	1	1
Arvukate	1	0
esinemiste	1	0
NFSV	1	0
Venemaal	1	0
mujal	1	0
tolleaegsest	1	0
vene	2	0
keel	1	1
venekeelne	1	1
hüüdnime	1	1
saa	1	0
aru	1	0
suurepärane	1	0
fantastiline	1	0
inimene	1	0
Mis	2	1
Jaaku	1	1
Võin	2	0
teile	1	0
öelda	1	0
Ega	1	0
süü	1	0
sellisel	1	0
oludes	1	0
elas	1	0
Tööd	1	0
kõigil	1	0
tingimustes	1	0
me	1	0
tegime	1	1
section	1	0
polnud	1	0
autasustati	1	0
teenete	1	0
nõukogude	2	0
estraadikunsti	1	1
edendamisel	1	0
artisti	1	0
p	1	0
aunimetusega	1	2
ÜLEMNÕUKOGU	1	0
JA	1	0
VALITSUSE	1	1
TEATAJA	1	0
Nr	1	0
Art	1	1
Sm	1	0
J	1	0
aunimetuse	1	1
andmise	1	0
lk	1	0
Aastatel	2	1
saateansambliga	1	2
ränka	1	0
lööki	1	0
Kõigepealt	1	0
varastati	1	0
mil	1	0
Sot	1	0
muusikafilmi	1	0
võtetel	1	0
merle	2	0
talvik	2	0
lobusaid	1	1
lõbusaid	1	0
tühjaks	1	0
korter	1	0
Sellele	2	0
abielulahutus	1	1
võimudelt	1	0
sõnakuulmatuse	1	0
esinemiskeelu	1	0
Kultuuriministeerium	1	1
juhid	1	1
rahul	1	0
jõulise	1	0
iseseisvumisega	1	0
niivõrd	1	0
kuulus	1	0
arvas	1	0
võib	1	0
lubada	1	0
kõike	1	0
kultuuriministeeriumisse	1	0
Moskvas	1	0
kõne	1	0
Võtke	1	0
temaga	1	0
ometi	1	0
midagi	1	0
juhitamatu	1	1
kallid	1	0
kultuurifunktsionäärid	1	0
organiseerisid	1	0
disklahvi	1	0
Ei	2	0
tohtinud	1	1
terve	1	1
otsa	2	0
kusagil	1	0
lauluhäältki	1	0
mingit	1	0
pilli	1	0
mängida	1	0
täielik	1	0
vaikus	1	0
Keegi	1	0
helistanud	1	1
Moskvasse	1	0
öelnud	1	0
Sdelaite	1	0
nim	1	0
hotj	1	0
to	1	0
nibudj	1	2
nas	1	0
neupravljajemõi	1	0
Peaaegu	2	0
aastane	1	0
esinemiskeeld	1	0
zanris	1	1
liidu	2	0
anris	1	1
naasis	1	0
moodustati	1	0
tuntuimad	1	0
ülesastumised	1	0
levimuusikapäevadel	1	0
lauljakarjäärist	1	0
kolme	2	0
kontserdid	1	0
surmast	1	2
murtud	1	0
suuda	1	1
leppida	1	0
elurõõmsat	1	0
inimest	1	0
kunagi	1	1
näe	1	0
Põhjuseks	1	0
kuulsusest	1	0
tüdimus	1	0
väsimus	1	0
Kuulsus	2	0
kähku	1	0
massiivselt	1	0
tahtis	1	0
hingamise	1	0
ruumi	1	0
Aga	2	0
antud	1	1
ajab	1	1
inimese	1	0
hulluks	1	0
rääkis	1	0
pidevalt	1	0
tüdinud	1	0
väsinud	1	0
kõigest	1	0
Goskontsert	1	0
tihedast	1	0
esinemisgraafikust	1	0
tingitud	1	0
lakkamatutest	1	0
kontserditurneedest	1	0
avarustes	1	0
sellega	1	0
kaasnenud	1	0
rutiinist	1	0
meenutas	1	0
selgelt	1	0
meeles	1	0
hetk	1	0
lavalolek	1	0
vastukarva	1	0
tegin	1	0
üleskeeratud	1	0
mängujänes	1	0
elust	1	0
ratastel	1	0
lahkhelidest	1	0
juhtidega	1	0
valitsevate	1	0
muusikasuundade	1	0
muutumisest	1	0
mõõt	1	0
Venemaale	1	0
tümpsu	1	0
periood	1	0
põhjus	1	0
tõmbasin	1	0
kriipsu	1	0
ütlesin	1	0
aitab	1	0
piirist	1	0
allapoole	1	0
lähe	1	0
terviseprobleemidest	1	0
areenilt	1	0
tervise	1	0
Tal	2	0
südamega	1	1
probleeme	1	0
minu	1	0
teada	1	2
insulti	1	0
kõrvaga	1	0
halvemini	1	0
kuulma	1	0
niipalju	1	0
tean	1	0
töötanud	1	0
vasak	1	0
käsi	1	0
oleks	1	0
osanud	1	0
kurjasti	1	0
kasutatakse	1	0
Vanemas	1	0
tal	2	0
iseenda	1	1
muu	1	0
821119dd	1	2
466a	1	0
a8e3	1	0
c883a28bafac	1	0
muusikaliselt	1	0
rohkem	1	1
mõjutanud	1	1
ajalt	1	0
suuremate	1	1
rokkmuusika	1	0
rokk	1	1
kontsertide	1	1
festivalide	1	0
na	1	0
Rolling	1	1
Stones	1	1
turnee	1	1
tuntumad	1	0
projektid	1	1
sel	1	0
esitanud	1	1
Kollane	1	0
Allveelaev	1	1
G	1	0
Karl	1	0
Meelis	1	1
Punder	1	0
toimunud	1	0
ühiskontserdid	1	0
rahvasuus	1	0
Kolme	2	0
tuur	1	0
Mäega	1	0
Hiljem	2	0
laulmisest	1	0
pühendus	1	0
pedagoogi	1	0
produtsenditööle	1	0
juhtis	1	0
mõnda	1	1
muusikasaadet	1	0
ülesastumine	1	0
avalikkuse	1	0
ees	1	0
telgikontsert	1	0
Vabaduse	1	0
väljak	1	0
ul	1	0
kolm	2	0
tenorit	1	0
korraks	1	0
Klas	1	0
sünnipäeva	1	0
juubeli	1	0
peol	1	0
esitasid	1	0
nad	1	0
vaid	1	1
Valgre	1	1
loodan	1	0
saan	1	1
sellest	2	0
juhatas	1	1
Leinatamm	1	0
Viimased	2	0
eraklik	1	1
inimesed	1	0
korget	1	1
vaariks	1	0
kõrget	1	0
vääriks	1	0
lauljat	1	0
infarkt	1	0
mail	1	0
jälle	1	0
Põhja	1	1
regionaalhaigla	1	1
veresoonkond	1	0
veresoonkonna	1	0
haiguste	1	0
intensiivraviosakonda	1	0
Vaatamata	2	0
tegemist	2	0
teise	1	0
taastus	1	1
septembri	1	0
õhtul	1	1
leiti	1	0
kodust	1	0
surnuna	1	0
äsja	1	0
kopsuprobleemide	1	0
haiglaravil	1	0
maeti	1	0
Metsakalmistu	1	0
Isiklikku	1	0
kvartett	1	1
300px	1	0
Rahvusmeeskoor	1	0
foto	2	0
muusikateadlane	1	2
tervendajana	1	0
abiellus	1	0
Nende	2	1
abielu	1	0
kestis	1	1
epl	2	0
armastuse	1	1
plaadil	1	1
EPL	2	0
poeg	1	1
Janar	1	1
august	1	0
teine	1	1
laulufestival	1	0
Poola	1	0
teenetemärk	1	0
keeldus	1	0
president	1	0
Hendrik	1	0
Ilves	1	0
tv	2	0
delfis	1	0
loik	1	0
mairega	2	0
votma	1	0
lainud	1	0
Lõik	1	0
Mairega	2	0
läinud	1	0
Panus	1	0
muusikasse	1	0
Fonogrammitootjate	1	0
Ühing	1	0
tunnustas	1	0
Muusikaauhinnad	1	0
muusikaauhindade	1	0
galakontserdil	1	0
autasuga	1	0
postuumselt	1	0
elutööd	1	0
igas	1	0
mõttes	1	0
erakordse	1	0
muusikalise	1	0
tegevuse	1	0
meesartist	1	0
pluss	1	0
maarja	2	0
nuut	2	0
Maarja	2	0
Nuut	2	0
Alates	2	0
aastast	1	2
sõidab	1	1
Nimelised	1	0
muusikatrammid	1	0
temanimeline	1	0
Jaanika	1	0
Vilipo	1	0
venemaa	2	0
fannid	1	0
moodub	1	0
Galerii	2	0
Venemaa	2	1
fännid	1	0
möödub	1	0
Diskograafia	1	0
rohkesti	1	1
avaldatud	1	0
heliplaatidel	1	1
Mälestuse	1	0
jäädvustamine	1	0
Kasti	2	0
pandud	1	0
Lauluväljak	1	0
retrospektiiv	2	0
valik	1	0
Kontserdi	1	0
korraldaja	1	1
ühinesid	1	0
laval	1	0
Kaire	1	1
Vilgats	1	0
Dagmar	1	0
Oja	1	0
kunagine	1	1
klahvpillimängija	1	0
77670c43	1	0
bf98	1	0
423d	1	0
871c	1	0
e0252d2eab96	1	0
annab	1	0
lauludega	1	0
suurkontserdi	1	0
Menu	2	0
pühendati	1	0
Rahvusringhääling	1	0
ELU	3	0
EDETABELID	2	1
avaldas	1	0
ettevõte	1	0
JJ	1	0
Music	1	0
plaadi	1	0
tiraa	1	0
teatasid	1	0
plaanist	1	0
püstitada	1	0
jaam	1	0
pakkus	1	0
